threshold,min_component_voxels,case_id,dice,precision,recall,gt_voxels,gt_category,pred_voxels,pred_category,tp,fp,fn,missed_positive,empty_false_positive
0.35,20,0729,0.0,0.0,0.0,107,tiny,0,empty,0,0,107,1,0
0.3,10,0731,0.7919084208875646,0.7689964976397137,0.8162275739453694,6187,large,6567,large,5050,1517,1137,0,0
0.3,20,0731,0.7932144820545041,0.7714634891536817,0.8162275739453694,6187,large,6546,large,5050,1496,1137,0,0
0.35,10,0731,0.7933147632311978,0.7814361868924428,0.8055600452561823,6187,large,6378,large,4984,1394,1203,0,0
0.35,20,0731,0.7933147632311978,0.7814361868924428,0.8055600452561823,6187,large,6378,large,4984,1394,1203,0,0
0.3,10,0738,0.7289590916117428,0.8232866711106879,0.6540246116602784,39658,large,31503,large,25936,5567,13720,0,0
0.3,20,0738,0.7289590916117428,0.8232866711106879,0.6540246116602784,39658,large,31503,large,25936,5567,13720,0,0
0.35,10,0738,0.7244455846302947,0.8330601809361479,0.6408866249747831,39658,large,30508,large,25415,5093,14241,0,0
0.35,20,0738,0.7244455846302947,0.8330601809361479,0.6408866249747831,39658,large,30508,large,25415,5093,14241,0,0
0.3,10,0744,0.7241164695789668,0.6449718326740981,0.8254016949802508,26075,large,33372,large,21524,11848,4553,0,0
0.3,20,0744,0.7241164695789668,0.6449718326740981,0.8254016949802508,26075,large,33372,large,21524,11848,4553,0,0
0.35,10,0744,0.7353252293339345,0.671161760050649,0.8130536488092955,26075,large,31590,large,21202,10388,4875,0,0
0.35,20,0744,0.7355548231539142,0.6715444064360826,0.8130536488092955,26075,large,31572,large,21202,10370,4875,0,0
0.3,10,0772,0.5396825396825397,0.4973404255319149,0.5899053627760252,319,tiny,376,tiny,187,189,130,0,0
0.3,20,0772,0.5396825396825397,0.4973404255319149,0.5899053627760252,319,tiny,376,tiny,187,189,130,0,0
0.35,10,0772,0.537890044576523,0.5084269662921348,0.5709779179810726,319,tiny,356,tiny,181,175,136,0,0
0.35,20,0772,0.537890044576523,0.5084269662921348,0.5709779179810726,319,tiny,356,tiny,181,175,136,0,0
0.3,10,0788,0.7700121310149616,0.7266760288191476,0.818844817503182,29069,large,32756,large,23803,8953,5266,0,0
0.3,20,0788,0.7700121310149616,0.7266760288191476,0.818844817503182,29069,large,32756,large,23803,8953,5266,0,0
0.35,10,0788,0.7724034004357013,0.7372271902945406,0.8111046131617875,29069,large,31982,large,23578,8404,5491,0,0
0.35,20,0788,0.7726311995150165,0.7376423476410963,0.8111046131617875,29069,large,31964,large,23578,8386,5491,0,0
0.3,10,0833,0.0,0.0,0.0,246,tiny,0,empty,0,0,246,1,0
0.3,20,0833,0.0,0.0,0.0,246,tiny,0,empty,0,0,246,1,0
0.35,10,0833,0.0,0.0,0.0,246,tiny,0,empty,0,0,246,1,0
0.35,20,0833,0.0,0.0,0.0,246,tiny,0,empty,0,0,246,1,0
0.3,10,0837,0.0,0.0,0.0,83,tiny,0,empty,0,0,83,1,0
0.3,20,0837,0.0,0.0,0.0,83,tiny,0,empty,0,0,83,1,0
0.35,10,0837,0.0,0.0,0.0,83,tiny,0,empty,0,0,83,1,0
0.35,20,0837,0.0,0.0,0.0,83,tiny,0,empty,0,0,83,1,0
0.3,10,0842,0.8502166098257904,0.7994591689923556,0.9078561445640834,50801,large,57689,large,46120,11569,4681,0,0
0.3,20,0842,0.8502166098257904,0.7994591689923556,0.9078561445640834,50801,large,57689,large,46120,11569,4681,0,0
